school,sex,age,address,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,total,average_grade,Avg_Parent_Edu,Parent_Job_Type,Total_Alcohol,Grade_Improvement,Study_Efficiency,Avg_Daily_Absences,School_Higher_Interaction,Age_Group,Internet_Studytime,Internet_Activities
GP,F,0.0,R,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0.0625,0.5263157894736842,0.5789473684210527,10,0.5151515151515151,0.5151515151515151,0.75,services_health,0.0,0.5,0.21052631578947367,0.0625,GP_yes,,yes_3,yes_yes
GP,F,0.1428571428571428,U,2,2,services,services,home,mother,1,1,0,no,no,no,yes,yes,no,1,2,2,1,3,5,0.1875,0.5263157894736842,0.5789473684210527,12,0.5151515151515151,0.5151515151515151,0.5,services_services,0.25,0.5,0.07894736842105263,0.1875,GP_yes,15-17,yes_1,yes_no
GP,M,0.0,U,2,2,other,other,home,mother,1,1,0,no,no,yes,yes,yes,no,4,2,2,1,2,5,0.25,0.5789473684210527,0.631578947368421,12,0.5757575757575758,0.5757575757575758,0.5,other_other,0.125,0.5,0.07894736842105263,0.25,GP_yes,,yes_1,yes_no
GP,M,0.0,U,4,2,health,services,other,mother,1,1,0,no,no,yes,yes,yes,no,2,2,4,2,4,1,0.0,0.5789473684210527,0.5789473684210527,11,0.5454545454545455,0.5454545454545455,0.75,health_services,0.5,0.45,0.07894736842105263,0.0,GP_yes,,yes_1,yes_no
GP,M,0.1428571428571428,U,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,0.0625,0.631578947368421,0.631578947368421,13,0.6060606060606061,0.6060606060606061,0.875,services_other,0.0,0.45,0.12280701754385964,0.0625,GP_yes,15-17,yes_2,yes_yes
GP,M,0.1428571428571428,U,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,5,5,0.125,0.631578947368421,0.5789473684210527,12,0.5757575757575758,0.5757575757575758,1.0,teacher_teacher,1.0,0.4,0.07894736842105263,0.125,GP_yes,15-17,yes_2,yes_yes
GP,M,0.0,U,4,4,health,services,home,mother,1,2,0,no,no,no,yes,yes,no,5,4,2,3,4,5,0.0,0.5263157894736842,0.5789473684210527,11,0.5151515151515151,0.5151515151515151,1.0,health_services,0.625,0.5,0.07894736842105263,0.0,GP_yes,,yes_2,yes_no
GP,M,0.0,U,4,4,services,services,reputation,mother,2,2,0,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0.0625,0.7894736842105263,0.7894736842105263,15,0.787878787878788,0.787878787878788,1.0,services_services,0.0,0.45,0.12280701754385964,0.0625,GP_yes,,yes_2,yes_yes
GP,M,0.0,R,4,3,teacher,at_home,course,mother,1,2,0,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0.0,0.6842105263157894,0.7368421052631579,15,0.696969696969697,0.696969696969697,0.875,teacher_at_home,0.0,0.5,0.05263157894736842,0.0,GP_yes,,yes_2,yes_yes
GP,M,0.0,U,3,3,other,other,course,mother,1,2,0,no,yes,no,yes,yes,no,5,3,2,1,1,2,0.0,0.6842105263157894,0.631578947368421,12,0.6363636363636364,0.6363636363636364,0.75,other_other,0.0,0.4,0.12280701754385964,0.0,GP_yes,,yes_2,yes_yes
GP,M,0.1428571428571428,U,3,2,other,other,home,mother,1,1,0,no,no,no,yes,yes,no,5,4,3,1,1,5,0.125,0.631578947368421,0.631578947368421,12,0.6060606060606061,0.6060606060606061,0.625,other_other,0.0,0.45,0.013157894736842105,0.125,GP_yes,15-17,yes_1,yes_no
GP,F,0.0,U,2,3,other,other,other,father,2,1,0,no,yes,yes,yes,no,no,3,5,1,1,1,5,0.125,0.5789473684210527,0.5789473684210527,11,0.5454545454545455,0.5454545454545455,0.625,other_other,0.0,0.45,0.0,0.125,GP_yes,,no_1,no_yes
GP,M,0.0,U,4,3,teacher,services,home,mother,1,3,0,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0.0,0.7368421052631579,0.7368421052631579,14,0.7272727272727273,0.7272727272727273,0.875,teacher_services,0.0,0.45,0.14473684210526316,0.0,GP_yes,,yes_3,yes_yes
GP,M,0.1428571428571428,R,4,4,other,teacher,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,0.125,0.6842105263157894,0.6842105263157894,13,0.6666666666666666,0.6666666666666666,1.0,other_teacher,0.0,0.45,0.14473684210526316,0.125,GP_yes,15-17,yes_3,yes_yes
GP,F,0.0,R,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0.0625,0.5789473684210527,0.631578947368421,12,0.5757575757575758,0.5757575757575758,0.875,services_health,0.0,0.5,0.21052631578947367,0.0625,GP_yes,,yes_3,yes_yes
GP,F,0.0,R,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,no,no,4,3,1,1,1,2,0.25,0.7368421052631579,0.6842105263157894,12,0.696969696969697,0.696969696969697,0.5,at_home_other,0.0,0.4,0.03508771929824561,0.25,GP_yes,,no_1,no_yes
GP,F,0.1428571428571428,U,2,2,other,other,home,mother,2,2,0,no,yes,no,yes,yes,yes,3,3,3,1,2,3,0.5,0.5789473684210527,0.5789473684210527,10,0.5454545454545455,0.5454545454545455,0.5,other_other,0.125,0.45,0.12280701754385964,0.5,GP_yes,15-17,yes_2,yes_yes
GP,M,0.0,U,4,4,teacher,other,home,other,1,1,0,no,no,no,yes,yes,yes,5,4,3,2,4,5,0.25,0.5263157894736842,0.5789473684210527,11,0.5151515151515151,0.5151515151515151,1.0,teacher_other,0.5,0.5,0.013157894736842105,0.25,GP_yes,,yes_1,yes_no
GP,M,0.0,U,4,4,services,teacher,course,father,1,2,0,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0.0,0.7368421052631579,0.7894736842105263,15,0.7575757575757576,0.7575757575757576,1.0,services_teacher,0.0,0.5,0.12280701754385964,0.0,GP_yes,,yes_2,yes_yes
GP,M,0.0,U,2,2,services,services,course,father,1,1,0,yes,no,yes,yes,yes,no,5,4,1,1,1,1,0.0,0.47368421052631576,0.5263157894736842,10,0.4545454545454546,0.4545454545454546,0.5,services_services,0.0,0.5,0.013157894736842105,0.0,GP_yes,,yes_1,yes_no
GP,F,0.1428571428571428,U,2,2,other,at_home,course,father,2,2,1,yes,yes,yes,yes,yes,no,4,3,3,2,2,5,0.4375,0.5263157894736842,0.5789473684210527,11,0.5151515151515151,0.5151515151515151,0.5,other_at_home,0.25,0.5,0.12280701754385964,0.4375,GP_yes,15-17,yes_2,yes_yes
GP,F,0.0,U,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,0.125,0.5263157894736842,0.5789473684210527,11,0.5151515151515151,0.5151515151515151,0.875,other_other,0.0,0.5,0.21052631578947367,0.125,GP_yes,,yes_2,yes_yes
GP,F,0.1428571428571428,U,3,3,other,services,home,mother,1,2,0,no,no,yes,yes,yes,no,2,3,5,1,4,3,0.1875,0.6842105263157894,0.631578947368421,13,0.6363636363636364,0.6363636363636364,0.75,other_services,0.375,0.4,0.12280701754385964,0.1875,GP_yes,15-17,yes_2,yes_no
GP,M,0.1428571428571428,U,4,3,health,services,reputation,mother,1,4,0,no,yes,yes,yes,yes,no,4,2,2,1,1,2,0.0625,0.894736842105263,0.894736842105263,17,0.9090909090909091,0.9090909090909091,0.875,health_services,0.0,0.45,0.47368421052631576,0.0625,GP_yes,15-17,yes_4,yes_yes
GP,M,0.0,U,4,2,teacher,other,home,mother,1,2,0,no,no,yes,yes,no,no,4,3,3,2,2,5,0.125,0.5789473684210527,0.631578947368421,13,0.5757575757575758,0.5757575757575758,0.75,teacher_other,0.25,0.5,0.12280701754385964,0.125,GP_yes,,no_2,no_no
GP,F,0.0,U,4,4,services,teacher,other,father,1,2,0,yes,yes,no,yes,yes,no,4,4,4,1,1,3,0.0625,0.6842105263157894,0.631578947368421,12,0.6363636363636364,0.6363636363636364,1.0,services_teacher,0.0,0.4,0.07894736842105263,0.0625,GP_yes,,yes_2,yes_yes
GP,F,0.1428571428571428,U,2,2,services,services,course,mother,3,2,0,no,no,yes,yes,yes,no,4,3,3,2,3,4,0.0,0.7368421052631579,0.6842105263157894,13,0.696969696969697,0.696969696969697,0.5,services_services,0.375,0.4,0.12280701754385964,0.0,GP_yes,15-17,yes_2,yes_no
GP,F,0.0,U,4,2,health,other,other,mother,1,2,0,no,no,yes,yes,yes,no,4,3,3,1,1,5,0.0,0.8421052631578947,0.7368421052631579,16,0.787878787878788,0.787878787878788,0.75,health_other,0.0,0.35,0.12280701754385964,0.0,GP_yes,,yes_2,yes_no
GP,M,0.0,U,4,2,health,health,other,father,2,1,0,no,no,yes,yes,no,no,5,5,5,3,4,5,0.125,0.5263157894736842,0.47368421052631576,9,0.4545454545454546,0.4545454545454546,0.75,health_health,0.625,0.4,0.0,0.125,GP_yes,,no_1,no_no
GP,F,0.0,U,4,4,services,services,course,mother,1,1,0,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0.0,0.6842105263157894,0.631578947368421,12,0.6363636363636364,0.6363636363636364,1.0,services_services,0.375,0.4,0.03508771929824561,0.0,GP_yes,,yes_1,yes_no
GP,F,0.0,U,3,3,other,other,other,mother,1,1,0,no,no,yes,yes,yes,no,5,3,4,4,4,1,0.0,0.6842105263157894,0.631578947368421,13,0.6363636363636364,0.6363636363636364,0.75,other_other,0.75,0.4,0.03508771929824561,0.0,GP_yes,,yes_1,yes_no
GP,F,0.1428571428571428,U,2,1,other,other,other,mother,1,2,0,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,0.0625,0.631578947368421,0.6842105263157894,12,0.6363636363636364,0.6363636363636364,0.375,other_other,0.0,0.5,0.12280701754385964,0.0625,GP_yes,15-17,yes_2,yes_yes
GP,F,0.0,U,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0.0,0.7894736842105263,0.7368421052631579,15,0.7575757575757576,0.7575757575757576,0.875,services_services,0.0,0.4,0.12280701754385964,0.0,GP_yes,,yes_2,yes_yes
GP,M,0.0,U,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,yes,no,no,3,2,2,1,1,5,0.25,0.7894736842105263,0.7894736842105263,16,0.787878787878788,0.787878787878788,1.0,teacher_health,0.0,0.45,0.21052631578947367,0.25,GP_yes,,no_2,no_yes
GP,M,0.0,U,1,2,other,at_home,home,father,1,2,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0.0,0.7368421052631579,0.6842105263157894,14,0.696969696969697,0.696969696969697,0.375,other_at_home,0.0,0.4,0.12280701754385964,0.0,GP_yes,,yes_2,yes_yes
GP,F,0.1428571428571428,U,4,2,services,other,course,mother,1,2,0,no,no,yes,yes,yes,no,4,2,3,1,1,5,0.0625,0.8421052631578947,0.7894736842105263,16,0.8181818181818182,0.8181818181818182,0.75,services_other,0.0,0.4,0.21052631578947367,0.0625,GP_yes,15-17,yes_2,yes_no
GP,F,0.1428571428571428,R,4,4,health,teacher,other,mother,1,2,0,no,yes,yes,yes,no,no,2,4,4,2,3,4,0.0,0.894736842105263,0.8421052631578947,16,0.8787878787878788,0.8787878787878788,1.0,health_teacher,0.375,0.4,0.07894736842105263,0.0,GP_yes,15-17,no_2,no_yes
GP,F,0.1428571428571428,U,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,0.0,0.5263157894736842,0.5263157894736842,16,0.48484848484848486,0.48484848484848486,0.25,services_services,1.0,0.45,0.0,0.0,GP_yes,15-17,yes_1,yes_yes
GP,F,0.1428571428571428,U,1,2,other,services,reputation,father,1,2,0,yes,yes,yes,yes,yes,no,4,4,3,1,1,1,0.0,0.6842105263157894,0.6842105263157894,10,0.6666666666666666,0.6666666666666666,0.375,other_services,0.0,0.45,0.07894736842105263,0.0,GP_yes,15-17,yes_2,yes_yes
GP,F,0.1428571428571428,U,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,0.0,0.7368421052631579,0.6842105263157894,13,0.696969696969697,0.696969696969697,0.875,teacher_health,0.5,0.4,0.14473684210526316,0.0,GP_yes,15-17,yes_3,yes_yes
GP,F,0.0,U,4,3,services,services,reputation,father,1,2,0,yes,yes,yes,yes,yes,yes,4,4,4,2,4,2,0.0,0.6842105263157894,0.631578947368421,12,0.6363636363636364,0.6363636363636364,0.875,services_services,0.5,0.4,0.07894736842105263,0.0,GP_yes,,yes_2,yes_yes
GP,F,0.1428571428571428,U,4,3,teacher,services,course,mother,3,2,0,no,yes,yes,yes,yes,no,5,4,3,1,2,1,0.0625,0.8421052631578947,0.7894736842105263,16,0.8181818181818182,0.8181818181818182,0.875,teacher_services,0.125,0.4,0.07894736842105263,0.0625,GP_yes,15-17,yes_2,yes_yes
GP,M,0.0,U,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0.0,0.5789473684210527,0.631578947368421,12,0.5757575757575758,0.5757575757575758,1.0,other_services,1.0,0.5,0.2982456140350877,0.0,GP_yes,,yes_4,yes_yes
GP,F,0.1428571428571428,U,3,1,services,other,course,mother,1,4,0,yes,no,yes,yes,yes,no,4,3,3,1,2,5,0.0,0.5263157894736842,0.47368421052631576,10,0.4545454545454546,0.4545454545454546,0.5,services_other,0.125,0.4,0.2982456140350877,0.0,GP_yes,15-17,yes_4,yes_no
GP,F,0.0,R,2,2,health,services,reputation,mother,2,2,0,yes,no,yes,yes,yes,no,4,1,3,1,3,4,0.0,0.5789473684210527,0.5263157894736842,11,0.5151515151515151,0.5151515151515151,0.5,health_services,0.25,0.4,0.47368421052631576,0.0,GP_yes,,yes_2,yes_no
GP,F,0.0,R,3,1,other,other,reputation,father,2,4,0,no,no,no,yes,yes,no,4,4,2,2,3,3,0.1875,0.7894736842105263,0.7894736842105263,15,0.787878787878788,0.787878787878788,0.5,other_other,0.375,0.45,0.21052631578947367,0.1875,GP_yes,,yes_4,yes_no
GP,M,0.1428571428571428,U,3,1,other,other,reputation,father,2,4,0,no,no,yes,yes,yes,no,4,3,2,1,1,5,0.0625,0.6842105263157894,0.5789473684210527,11,0.6060606060606061,0.6060606060606061,0.5,other_other,0.0,0.35,0.2982456140350877,0.0625,GP_yes,15-17,yes_4,yes_no
GP,M,0.0,U,4,2,other,other,course,mother,1,4,0,no,no,yes,yes,yes,no,3,3,3,1,1,3,0.0,0.5789473684210527,0.47368421052631576,10,0.48484848484848486,0.48484848484848486,0.75,other_other,0.0,0.35,0.2982456140350877,0.0,GP_yes,,yes_4,yes_no
GP,F,0.0,R,1,1,other,other,reputation,mother,1,2,0,yes,no,no,yes,yes,yes,3,3,4,2,4,5,0.0625,0.6842105263157894,0.5789473684210527,11,0.6060606060606061,0.6060606060606061,0.25,other_other,0.5,0.35,0.12280701754385964,0.0625,GP_yes,,yes_2,yes_no
GP,M,0.1428571428571428,U,3,1,other,other,reputation,mother,1,1,0,no,yes,yes,yes,no,no,5,3,2,2,2,5,0.0,0.6842105263157894,0.6842105263157894,14,0.6666666666666666,0.6666666666666666,0.5,other_other,0.25,0.45,0.03508771929824561,0.0,GP_yes,15-17,no_1,no_yes
GP,F,0.1428571428571428,U,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,0.125,0.5789473684210527,0.5789473684210527,11,0.5454545454545455,0.5454545454545455,0.75,other_services,0.5,0.45,0.12280701754385964,0.125,GP_yes,15-17,yes_2,yes_yes
GP,M,0.0,U,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0.0,0.5789473684210527,0.5789473684210527,11,0.5454545454545455,0.5454545454545455,0.875,teacher_other,0.375,0.45,0.12280701754385964,0.0,GP_yes,,yes_2,yes_yes
GP,M,0.0,U,4,0,teacher,other,course,mother,2,4,0,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0.0,0.631578947368421,0.5789473684210527,11,0.5757575757575758,0.5757575757575758,0.5,teacher_other,0.0,0.4,0.21052631578947367,0.0,GP_yes,,yes_4,yes_yes
GP,F,0.1428571428571428,U,2,2,other,other,reputation,mother,1,4,0,no,no,yes,yes,yes,yes,5,2,3,1,3,3,0.03125,0.6842105263157894,0.6842105263157894,13,0.6666666666666666,0.6666666666666666,0.5,other_other,0.25,0.45,0.47368421052631576,0.03125,GP_yes,15-17,yes_4,yes_no
GP,M,0.2857142857142856,U,2,1,other,other,home,mother,2,1,3,yes,yes,yes,no,yes,no,4,5,1,1,1,3,0.0,0.47368421052631576,0.47368421052631576,10,0.4242424242424242,0.4242424242424242,0.375,other_other,0.0,0.45,0.0,0.0,GP_no,15-17,yes_1,yes_yes
GP,F,0.1428571428571428,U,3,4,at_home,other,course,mother,1,2,0,no,no,yes,yes,yes,no,2,4,3,1,2,3,0.4375,0.631578947368421,0.5789473684210527,11,0.5757575757575758,0.5757575757575758,0.875,at_home_other,0.125,0.4,0.07894736842105263,0.4375,GP_yes,15-17,yes_2,yes_no
GP,M,0.0,U,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,0.0,0.5789473684210527,0.5789473684210527,12,0.5454545454545455,0.5454545454545455,0.625,other_services,0.25,0.45,0.07894736842105263,0.0,GP_yes,,yes_1,yes_yes
GP,M,0.0,U,2,3,other,other,home,mother,1,3,0,yes,no,no,yes,yes,no,5,3,2,1,2,5,0.0625,0.5263157894736842,0.47368421052631576,9,0.4545454545454546,0.4545454545454546,0.625,other_other,0.125,0.4,0.21052631578947367,0.0625,GP_yes,,yes_3,yes_no
GP,F,0.0,U,3,2,services,other,reputation,mother,1,2,0,no,no,yes,yes,yes,no,4,4,4,1,1,5,0.125,0.631578947368421,0.5789473684210527,11,0.5757575757575758,0.5757575757575758,0.625,services_other,0.0,0.4,0.07894736842105263,0.125,GP_yes,,yes_2,yes_no
GP,M,0.0,U,2,2,services,services,home,mother,2,2,0,no,yes,yes,yes,yes,no,5,3,3,1,3,4,0.0625,0.6842105263157894,0.631578947368421,13,0.6363636363636364,0.6363636363636364,0.5,services_services,0.25,0.4,0.12280701754385964,0.0625,GP_yes,,yes_2,yes_yes
GP,F,0.0,U,1,1,other,other,home,father,1,2,0,no,yes,no,yes,yes,no,4,3,2,2,3,4,0.0625,0.6842105263157894,0.631578947368421,12,0.6363636363636364,0.6363636363636364,0.25,other_other,0.375,0.4,0.12280701754385964,0.0625,GP_yes,,yes_2,yes_yes
GP,F,0.0,U,4,4,services,services,reputation,father,2,2,0,no,no,yes,yes,yes,yes,4,4,4,2,3,5,0.125,0.631578947368421,0.5789473684210527,12,0.5757575757575758,0.5757575757575758,1.0,services_services,0.375,0.4,0.07894736842105263,0.125,GP_yes,,yes_2,yes_no
GP,F,0.1428571428571428,U,2,2,at_home,other,course,mother,1,2,0,no,no,yes,yes,no,no,4,3,4,1,2,2,0.1875,0.6842105263157894,0.5789473684210527,11,0.6060606060606061,0.6060606060606061,0.5,at_home_other,0.125,0.35,0.12280701754385964,0.1875,GP_yes,15-17,no_2,no_no
GP,F,0.0,U,4,2,other,other,reputation,mother,1,3,0,no,yes,yes,yes,yes,no,5,3,3,1,3,1,0.125,0.7894736842105263,0.7894736842105263,15,0.787878787878788,0.787878787878788,0.75,other_other,0.25,0.45,0.21052631578947367,0.125,GP_yes,,yes_3,yes_yes
GP,M,0.1428571428571428,U,2,2,services,other,reputation,father,2,2,0,no,yes,no,yes,yes,no,4,4,2,1,1,3,0.1875,0.631578947368421,0.5263157894736842,11,0.5454545454545455,0.5454545454545455,0.5,services_other,0.0,0.35,0.07894736842105263,0.1875,GP_yes,15-17,yes_2,yes_yes
GP,M,0.1428571428571428,U,4,4,teacher,health,reputation,mother,1,2,0,no,no,yes,yes,no,no,4,1,3,3,5,5,0.1875,0.47368421052631576,0.47368421052631576,10,0.4242424242424242,0.4242424242424242,1.0,teacher_health,0.75,0.45,0.47368421052631576,0.1875,GP_yes,15-17,no_2,no_no
